survey_round,baseline_ai_tercile,weighted_n,occupation_switch_rate,employment_rate,unemployment_rate,nilf_rate,mean_annual_earnings,training_participation_rate,source_program,source_series_id
1997,low,14434655.390000002,0.0,0.2395787793130465,0.034073964251655986,0.705447643822272,51031.170542369524,0.9749097341866477,BLS_NLSY97_PUBLIC_USE,nlsy97_all_1997_2019_release20_public_use
1997,middle,4144655.900000004,0.0,0.2203764393386339,0.02873983966018576,0.7261614120646369,57961.59713752897,0.975193710301558,BLS_NLSY97_PUBLIC_USE,nlsy97_all_1997_2019_release20_public_use
1997,high,499716.9299999998,0.0,0.17184052567227298,0.020268294107058948,0.7775443379531467,70055.81588959889,0.9891184595246753,BLS_NLSY97_PUBLIC_USE,nlsy97_all_1997_2019_release20_public_use
1998,low,14703269.220000068,0.2769037865617827,0.3041722956395665,0.03430183005717721,0.6452717147457635,61105.72284187064,0.8786054031050361,BLS_NLSY97_PUBLIC_USE,nlsy97_all_1997_2019_release20_public_use
1998,middle,4093331.3700000066,0.29062884394143207,0.2713086739359787,0.033646579481415265,0.6745869998914271,63899.32353997454,0.8958802326331081,BLS_NLSY97_PUBLIC_USE,nlsy97_all_1997_2019_release20_public_use
1998,high,456738.9200000001,0.2829668604411231,0.23453506613383476,0.01807036044099036,0.7170923892230756,131854.76099638987,0.9097549427143192,BLS_NLSY97_PUBLIC_USE,nlsy97_all_1997_2019_release20_public_use
1999,low,14698986.019999927,0.4546169520911971,0.4178879949640645,0.048474401056598185,0.5149362907207083,54764.74093215026,0.7784902630497181,BLS_NLSY97_PUBLIC_USE,nlsy97_all_1997_2019_release20_public_use
1999,middle,4111899.5899999887,0.465485904104836,0.3741556861618735,0.04522280751681111,0.5626555703434342,66633.14435386268,0.8075612625876707,BLS_NLSY97_PUBLIC_USE,nlsy97_all_1997_2019_release20_public_use
1999,high,465816.9100000001,0.4984479200958358,0.3300275221020989,0.026894881048039627,0.6353902306005171,75706.86005955322,0.8954471618473452,BLS_NLSY97_PUBLIC_USE,nlsy97_all_1997_2019_release20_public_use
2000,low,14741909.029999996,0.5796330244307709,0.5409357558865087,0.06323901554902742,0.37752780360123706,56143.18912775445,0.6561509534857227,BLS_NLSY97_PUBLIC_USE,nlsy97_all_1997_2019_release20_public_use
2000,middle,4088375.7699999977,0.5781561615145951,0.5013192316006029,0.05631269440664312,0.42429175063165864,62683.38011917618,0.6973546802660617,BLS_NLSY97_PUBLIC_USE,nlsy97_all_1997_2019_release20_public_use
2000,high,466868.8599999999,0.6114473551146412,0.45888102489380406,0.04507431641571246,0.4928301682480504,80560.40180536575,0.8053528350552228,BLS_NLSY97_PUBLIC_USE,nlsy97_all_1997_2019_release20_public_use
2001,low,14691701.199999953,0.6655250202052446,0.6142033466452664,0.06845244597064716,0.2988670340820822,58731.12681995552,0.549220737122032,BLS_NLSY97_PUBLIC_USE,nlsy97_all_1997_2019_release20_public_use
2001,middle,4130216.009999996,0.669399875787668,0.5773497309359411,0.061080467555192,0.34242699246770025,67122.31891858332,0.6026953027867326,BLS_NLSY97_PUBLIC_USE,nlsy97_all_1997_2019_release20_public_use
2001,high,483186.85000000003,0.6064754404810032,0.5483183378257442,0.039639281054344645,0.4022907141725939,75281.80716365264,0.7266401674392774,BLS_NLSY97_PUBLIC_USE,nlsy97_all_1997_2019_release20_public_use
2002,low,14734177.5499999,0.7320844856087263,0.646690103022557,0.06878235525425624,0.25500309805468274,58648.776921427125,0.4386170845804981,BLS_NLSY97_PUBLIC_USE,nlsy97_all_1997_2019_release20_public_use
2002,middle,4098120.7900000047,0.7193974225675809,0.628372101845874,0.06532544369581457,0.27904743961226103,65104.00349510037,0.5224709671969623,BLS_NLSY97_PUBLIC_USE,nlsy97_all_1997_2019_release20_public_use
2002,high,469454.23000000004,0.7352498139341659,0.6102228313127187,0.045092232922397786,0.3164383231507868,70105.95399051969,0.6550174310073904,BLS_NLSY97_PUBLIC_USE,nlsy97_all_1997_2019_release20_public_use
2003,low,14696899.520000027,0.7729610850370713,0.6699104096216815,0.06894494896132206,0.22601877563148381,54957.023130691894,0.35897225327295534,BLS_NLSY97_PUBLIC_USE,nlsy97_all_1997_2019_release20_public_use
2003,middle,4144118.289999993,0.7610132034741576,0.6678573657321867,0.0661181791058817,0.23463989007012712,58834.747839129144,0.4304775593336479,BLS_NLSY97_PUBLIC_USE,nlsy97_all_1997_2019_release20_public_use
2003,high,468395.8599999998,0.8195858363078213,0.6506916873087537,0.03920962270347368,0.26903694830693853,58038.14030617219,0.5694204556503357,BLS_NLSY97_PUBLIC_USE,nlsy97_all_1997_2019_release20_public_use
2004,low,14739647.03999998,0.811589352224686,0.7023955523675912,0.06164666204083157,0.19828110275576893,63201.640913980904,0.29058568589551287,BLS_NLSY97_PUBLIC_USE,nlsy97_all_1997_2019_release20_public_use
2004,middle,4104614.1799999904,0.7766746332626262,0.7083294453183469,0.058843022268592816,0.20624971629115366,67099.36807170715,0.35794686971051,BLS_NLSY97_PUBLIC_USE,nlsy97_all_1997_2019_release20_public_use
